id;noise;temp;humidity;lum;co2;sent_at
1;35.5;25.8;55.0;282;448;2020-09-11 17:48:06 +0200
1;44.5;25.5;55.0;288;429;2020-09-11 18:03:03 +0200
1;34.5;25.5;55.0;286;417;2020-09-11 18:18:03 +0200
1;37.5;25.5;54.5;282;433;2020-09-11 18:33:03 +0200
1;36.0;25.3;55.0;274;403;2020-09-11 18:48:03 +0200
1;30.0;25.3;55.0;254;410;2020-09-11 19:03:03 +0200
1;33.0;25.3;55.5;234;407;2020-09-11 19:18:03 +0200
1;30.0;25.3;56.0;200;407;2020-09-11 19:33:03 +0200
1;27.0;25.0;56.5;148;416;2020-09-11 19:48:02 +0200
1;30.0;25.0;56.5;90;416;2020-09-11 20:03:06 +0200
1;31.5;25.0;57.0;36;411;2020-09-11 20:18:09 +0200
1;27.0;24.8;57.0;8;406;2020-09-11 20:33:03 +0200
1;27.0;24.8;57.5;0;415;2020-09-11 20:48:03 +0200
1;27.0;24.8;58.0;0;403;2020-09-11 21:03:02 +0200
1;27.0;24.5;58.5;0;412;2020-09-11 21:18:03 +0200
1;27.0;24.5;59.0;0;402;2020-09-11 21:33:03 +0200
1;27.0;24.5;59.5;0;411;2020-09-11 21:48:03 +0200
1;27.0;24.5;60.0;0;412;2020-09-11 22:03:02 +0200
1;27.0;24.3;60.0;0;402;2020-09-11 22:18:02 +0200
1;27.0;24.3;60.5;0;401;2020-09-11 22:33:02 +0200
1;27.0;24.3;60.5;0;404;2020-09-11 22:48:02 +0200
1;27.0;24.3;60.5;0;413;2020-09-11 23:03:02 +0200
1;27.0;24.0;60.5;0;408;2020-09-11 23:18:02 +0200
1;27.0;24.0;60.5;0;416;2020-09-11 23:33:02 +0200
1;27.0;24.0;60.0;0;410;2020-09-11 23:48:02 +0200
1;27.0;24.0;60.0;0;410;2020-09-12 00:03:02 +0200
1;27.0;24.0;59.5;0;413;2020-09-12 00:18:02 +0200
1;27.0;23.8;59.0;0;415;2020-09-12 00:33:02 +0200
1;27.0;23.8;58.5;0;403;2020-09-12 00:48:01 +0200
1;27.0;23.8;58.5;0;422;2020-09-12 01:03:02 +0200
1;27.0;23.8;58.0;0;423;2020-09-12 01:18:02 +0200
1;27.0;23.5;58.0;0;416;2020-09-12 01:33:01 +0200
1;27.0;23.5;57.5;0;421;2020-09-12 01:48:02 +0200
1;27.0;23.5;57.0;0;413;2020-09-12 02:03:02 +0200
1;27.0;23.5;56.5;0;409;2020-09-12 02:18:05 +0200
1;27.0;23.5;56.5;0;409;2020-09-12 02:33:01 +0200
1;27.0;23.3;56.5;0;402;2020-09-12 02:48:02 +0200
1;27.0;23.3;56.0;0;416;2020-09-12 03:03:05 +0200
1;27.0;23.3;56.0;0;417;2020-09-12 03:18:04 +0200
1;27.0;23.3;56.0;0;421;2020-09-12 03:33:02 +0200
1;27.0;23.3;56.0;0;421;2020-09-12 03:48:01 +0200
1;27.0;23.3;56.0;0;426;2020-09-12 04:03:02 +0200
1;27.0;23.3;56.0;0;420;2020-09-12 04:18:01 +0200
1;27.0;23.3;56.0;0;419;2020-09-12 04:33:01 +0200
1;27.0;23.0;56.0;0;414;2020-09-12 04:48:02 +0200
1;27.0;23.0;56.0;0;414;2020-09-12 05:03:02 +0200
1;27.0;23.0;56.0;0;426;2020-09-12 05:18:01 +0200
1;27.0;23.0;56.0;0;414;2020-09-12 05:33:05 +0200
1;27.0;23.0;56.0;0;410;2020-09-12 05:48:01 +0200
1;27.0;23.0;56.0;0;417;2020-09-12 06:03:03 +0200
1;27.0;23.0;56.0;0;422;2020-09-12 06:18:03 +0200
1;27.0;23.0;56.0;0;422;2020-09-12 06:33:04 +0200
1;27.0;23.0;56.0;0;417;2020-09-12 06:48:05 +0200
1;27.0;23.0;56.0;0;421;2020-09-12 07:03:06 +0200
1;27.0;22.8;56.0;0;426;2020-09-12 07:18:06 +0200
1;27.0;22.8;55.5;0;425;2020-09-12 07:33:08 +0200
1;27.0;22.8;55.5;6;425;2020-09-12 07:48:08 +0200
1;30.0;22.8;55.5;22;430;2020-09-12 08:03:09 +0200
1;27.0;22.8;55.5;46;430;2020-09-12 08:18:10 +0200
1;30.0;22.8;55.5;74;433;2020-09-12 08:33:10 +0200
1;37.0;22.8;55.5;108;436;2020-09-12 08:48:01 +0200
1;30.0;22.8;55.0;140;442;2020-09-12 09:03:01 +0200
1;30.0;22.8;55.0;168;432;2020-09-12 09:18:00 +0200
1;30.0;22.8;54.5;194;434;2020-09-12 09:33:07 +0200
1;27.0;22.8;54.0;216;433;2020-09-12 09:48:00 +0200
1;30.0;22.8;54.0;232;429;2020-09-12 10:03:01 +0200
1;30.0;23.0;54.0;242;426;2020-09-12 10:18:04 +0200
1;31.5;23.0;53.5;252;439;2020-09-12 10:33:01 +0200
1;30.0;23.0;53.5;258;428;2020-09-12 10:48:00 +0200
1;27.0;23.3;53.5;264;421;2020-09-12 11:03:00 +0200
1;27.0;23.3;53.0;268;413;2020-09-12 11:18:01 +0200
1;30.0;23.3;53.0;272;417;2020-09-12 11:33:01 +0200
1;30.0;23.5;52.5;276;426;2020-09-12 11:48:00 +0200
1;27.0;23.5;52.5;276;420;2020-09-12 12:03:00 +0200
1;30.0;23.8;52.0;272;429;2020-09-12 12:18:00 +0200
1;27.0;23.8;51.5;268;410;2020-09-12 12:33:00 +0200
1;27.0;24.0;51.0;266;417;2020-09-12 12:48:00 +0200
1;27.0;24.0;49.5;260;415;2020-09-12 13:03:03 +0200
1;27.0;24.3;48.0;258;408;2020-09-12 13:18:00 +0200
1;27.0;24.3;47.0;254;410;2020-09-12 13:32:59 +0200
1;30.0;24.3;47.5;250;413;2020-09-12 13:48:00 +0200
1;30.0;24.5;48.0;248;424;2020-09-12 14:02:59 +0200
1;31.5;24.5;48.0;246;417;2020-09-12 14:18:00 +0200
1;27.0;24.5;48.0;246;412;2020-09-12 14:32:59 +0200
1;27.0;24.5;47.5;244;408;2020-09-12 14:48:00 +0200
1;30.0;24.8;47.5;242;407;2020-09-12 15:03:00 +0200
1;30.0;24.8;47.5;242;406;2020-09-12 15:18:00 +0200
1;34.0;24.8;48.0;240;414;2020-09-12 15:32:59 +0200
1;30.0;24.8;48.0;240;416;2020-09-12 15:48:00 +0200
1;30.0;24.8;49.0;240;420;2020-09-12 16:03:03 +0200
1;27.0;24.8;50.0;238;413;2020-09-12 16:18:02 +0200
1;27.0;24.8;51.0;236;418;2020-09-12 16:32:59 +0200
1;27.0;24.8;51.5;238;419;2020-09-12 16:47:59 +0200
1;30.0;24.8;52.0;236;423;2020-09-12 17:03:00 +0200
1;27.0;24.8;51.5;238;410;2020-09-12 17:18:02 +0200
1;27.0;24.8;50.5;238;420;2020-09-12 17:33:00 +0200
1;31.5;24.8;49.5;242;413;2020-09-12 17:47:59 +0200
1;30.0;24.8;49.0;248;410;2020-09-12 18:02:59 +0200
1;30.0;24.8;49.0;252;409;2020-09-12 18:17:59 +0200
1;30.0;24.8;49.5;248;409;2020-09-12 18:32:59 +0200
1;30.0;24.8;49.5;242;408;2020-09-12 18:48:02 +0200
1;30.0;24.8;50.0;228;397;2020-09-12 19:02:59 +0200
1;30.0;24.8;50.5;208;415;2020-09-12 19:17:59 +0200
1;30.0;24.5;52.0;184;411;2020-09-12 19:32:59 +0200
1;27.0;24.5;52.0;140;411;2020-09-12 19:47:59 +0200
1;27.0;24.5;52.0;90;404;2020-09-12 20:02:58 +0200
